stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,1.34
3Month,0.32,1.6,0.32,0,1.6,0.32,0.32,0.64,1.28,0.64,0,0.96,0,0,0.64,0.32
22Month,0,0.55,0,0.55,9.29,0.55,1.09,0.55,1.09,1.09,0.55,0,0.55,0.55,0,0
