stage,Epithelial_cell__Brain_,Mesenchymal_cell,Nephron_cell,Neural_cell,Oligodendrocyte,Osteoblast,Radial_glia
24hpf,0,0,4.09,0,0,0,0
72hpf,1.07,1.07,0,21.4,1.07,3.21,1.07
21Day,0,0,0,8.03,0,0,0
