stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,1.07,0,0,0,0,0,0,0,0,14.98,1.07,0,0,0,0,0,3.21,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,8.03,12.05,4.02,0,4.02,0,0,0,0,0,6.69,5.35,0,1.34,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,2.68
3Month,0,1.6,9.6,49.59,0,0.96,160.61,8.32,0,27.52,8,0.32,561.51,20.48,5.76,9.92,7.68,0.64,0.32,3.52,20.8,0.32,3.84,0,0,0,3.84,6.4,0,0.32,1.92,7.04,3.84
22Month,0.55,3.28,16.95,30.61,0,1.09,73.8,6.56,4.37,83.64,3.83,1.09,737.98,5.47,1.64,11.48,9.84,0.55,3.28,6.56,1.09,0,2.73,1.09,1.09,0.55,2.73,2.19,0.55,0,0,0,2.19
