stage,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,T_cell
72hpf,0,1.07,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0
21Day,0,0,1.34,0,0,5.35,0,0,0,0,2.68,0,1.34,0,0,0,0
3Month,0,0.96,0,0,0.32,0.32,0.64,0,0.32,0,0,0,0,0.32,0,0.32,0
22Month,1.09,2.73,0,1.09,2.73,406.71,9.84,0.55,3.28,0.55,1.09,0.55,0,0,0.55,0.55,0.55
