stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,8.17,0,0,0,0,0,32.69,0,4.09,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,1.07,0,0,0,0,0,0,0,0,0,0,5.35,0,0,0,0,0,0,4.28,0,0,0,0,0,0,28.88,3.21,0,0,0
21Day,0,0,18.74,1.34,0,0,0,0,1.34,0,1.34,0,0,0,2.68,4.02,0,0,1.34,0,6.69,1.34,0,4.02,0,9.37,1.34,123.15,17.4,1.34,0,0
3Month,0,0,6.08,0,0.32,0,0.96,0,3.52,0.96,0,1.6,0.32,1.28,1.28,1.6,0.32,0,0,0.32,0,0.32,0,0,0,82.23,0.32,0.96,0,0,9.28,0.64
22Month,0,0.55,1.64,0,0,0.55,1.09,0,8.2,0,0,1.64,0,0,0.55,0.55,0,1.09,0.55,0,0.55,0,1.64,0,0.55,55.21,0,35.53,0,0,0,0
