stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,8.17,0,20.43,0,0,0,0,0,0,0,0,4.09,12.26,12.26,20.43,0,0,0,4.09,192.06,2517.23,0,0,0,0,0,0,0,0,4.09,0,0
72hpf,111.26,9.63,46,13.91,77.02,1.07,0,0,0,2.14,0,21.4,130.51,8.56,100.56,1.07,5.35,2.14,0,10763.17,880.44,2.14,5.35,135.86,1.07,0,90.93,5.35,8.56,16.05,0,0
21Day,29.45,1.34,16.06,0,32.12,1.34,0,4.02,0,9.37,4.02,1.34,18.74,9.37,28.11,0,0,1.34,0,1104.29,187.39,1.34,0,10.71,14.72,0,25.43,1.34,9.37,2.68,0,5.35
3Month,0,0,0.32,0,0,0,0.32,0,0,0,0.32,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0.32,0.64,0,0,0,0.96,0.32
22Month,0,0.55,0.55,0,0,0,0,0.55,3.83,0,0.55,0,0,0,0,0,0,0,0,0,0.55,0.55,0,0,0,1.64,0,0,0,0,0,0
