stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,12.26,0,0,24.52,0,0,0,0,0,4.09,0,0,0,0,4.09,4.09,12.26,102.16,0,0,0,16.35,2390.55,0,155.28,0,0,0,0,0,4.09,0,0,0
72hpf,13.91,2.14,0,4.28,7.49,0,0,0,0,0,0,0,0,0,2.14,8.56,1.07,10.7,0,1.07,1.07,414.01,664.34,1.07,44.93,1.07,0,52.42,1.07,0,27.81,0,0,0
21Day,4.02,0,0,14.72,5.35,0,0,0,0,0,0,0,1.34,0,0,4.02,1.34,10.71,0,0,0,192.75,341.33,0,13.39,12.05,0,34.8,4.02,4.02,16.06,0,0,1.34
3Month,0,0,0,3.84,0,0,1.28,0.32,0,0,1.92,0.64,0.32,1.28,0.32,0.32,0,0.96,0,0.32,0,8.96,15.04,0,0,0.32,4.16,5.12,0.32,0,11.52,0.32,0.64,0
22Month,0,0,1.09,3.28,0,0.55,0,1.64,1.09,0,8.2,0,0,1.09,0,0.55,1.09,1.09,0.55,1.09,0,8.2,9.84,0,0,0.55,1.64,7.65,0,0,4.92,0,0,0
