stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Intestinal_bulb_cell,Neural_progenitor_cell,Primordial_germ_cell
24hpf,0,0,0,0,8.17,0
72hpf,1.07,1.07,0,0,1.07,0
22Month,0,0,0.55,1.64,0,1.64
