stage,Endothelial_cell,Epithelial_cell,Hepatocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,0,0,4.09,0,0,0,0,4.09,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,1.07,0
21Day,0,0,0,1.34,1.34,0,0,1.34,0,1.34,1.34,1.34,0,0
3Month,0.64,0.96,0.32,0,0.96,0.32,0.32,0.32,0,0.96,0,0,0,2.56
22Month,0,0,2.73,0,0,0,0,0,0,1.09,0,0,0,0
