stage,Epithelial_cell,Granulocyte,Hepatocyte,Mesenchymal_cell,Mt_rich_cell,Neural_cell
72hpf,0,0,0,0,0,1.07
3Month,0.32,0.32,0,0.32,0,0
22Month,0,0.55,1.09,0,0.55,0
