stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,8.17,49.04,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,2.14,2.14,0,0,0,0,1.07,0,2.14,3.21,0,1.07,149.77,12.84,0,3.21,0,0,2.14,1.07,1.07,6.42
21Day,0,0,1.34,1.34,0,0,0,0,0,1.34,0,0,0,0,0,0,40.16,2.68,2.68,0,0,0,0,0,0,1.34
3Month,0,0,0.96,0.64,0,0,0.32,0.96,0.32,3.84,0,0.32,0,0.32,0.32,0.32,1.28,0,1.28,0,0.32,1.6,0,0,0,0
22Month,0,0,0.55,1.09,0,0,0,0,0.55,1.09,0,0,0,0,0,0,0.55,0,0,0,0,1.09,0,0,0,0
