stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,4.09,0,0,0,28.6,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,2.14,1.07,0,2.14,0,0,0,0,0,0,2.14,7.49,0,2.14,3.21,0,9.63,8.56,9.63,0,0,0,1.07,0,0,2.14,0,0,0
21Day,1.34,1.34,0,46.85,0,4.02,1.34,0,0,1.34,0,0,13.39,1.34,140.55,6.69,10.71,0,0,9.37,5.35,10.71,5.35,0,0,2.68,2.68,4.02,0,0,0,1.34
3Month,0,0,0,8.32,0,0,0,8.32,6.08,1.92,15.04,0,1.28,0,0.96,0.96,1.92,0,0,0,0,0,0,0.32,2.56,0,0,0,0,0,0.32,0.32
22Month,0,0,1.09,1.09,0,0,0,1.64,10.39,12.03,7.11,0.55,1.09,0,0,1.09,1.09,0.55,0.55,0,0,0,0,0,0,0,0,0,0,0.55,0,0
