stage,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,1.34,0,1.34,0,0,2.68,4.02,0,0,1.34,1.34,0,0,0
3Month,0,9.28,0,0.64,0.32,0,6.4,0,0,4.48,0.32,3.52,2.56,1.28,0,0,0,0.32,1.28,0,0,0,0.32,0.32,0
22Month,2.19,12.03,0.55,0.55,0.55,1.64,24.6,2.19,1.09,2.73,0.55,1.09,2.19,2.73,2.19,0.55,0,0,0,0.55,0,0,0,0,0.55
