stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,4.09,61.3,0,0,0,0,0
72hpf,1.07,0,0,1.07,0,0,0,1.07,0,3.21,1.07,0,4.28,0,4.28,12.84,1.07,0,0,0,0
21Day,1.34,2.68,1.34,8.03,0,0,0,2.68,0,0,2.68,1.34,5.35,1.34,2.68,6.69,2.68,0,0,0,1.34
3Month,0,0,0,0,0,0,0.64,0,0,0,0,0,0,0,0,0,0,2.56,0.64,0.64,0
22Month,0,0.55,0,0,0.55,0.55,5.47,0,0.55,0,0,1.09,1.09,0.55,0,0,0,1.09,0,0,0
