stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,8.17,8.17,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,0,4.28,0,2.14,0,0,0,0,0,0,1.07,0,0,7.49,2.14,28.88,0,0,474.99,27.81,0,6.42,6.42,0,0,6.42,0,0,0,0,0
21Day,2.68,1.34,2.68,1.34,6.69,0,0,0,0,6.69,0,0,4.02,0,2.68,2.68,16.06,0,0,228.89,10.71,0,6.69,6.69,5.35,0,4.02,2.68,1.34,0,0,1.34
3Month,0,0.32,4.8,0.32,0,0.32,0.32,0.64,0.64,8.32,0.96,0,1.6,0,1.92,0.96,2.56,0,0.64,0.96,0,0.96,1.6,0,0.32,1.28,0,0,0,0.32,4.48,0
22Month,0,0,2.19,0,0,0,0,3.83,1.09,25.15,1.09,0,3.83,0.55,0,0.55,2.19,2.73,0,1.64,0,1.64,0,0,0,0,0,0,0,0,0,0
