stage,Endothelial_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Retinal_pigment_epithelial_cell
24hpf,0,4.09,8.17,8.17,102.16,4.09
72hpf,1.07,1.07,0,1.07,3.21,0
21Day,0,0,1.34,0,0,0
