stage,Epithelial_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Nephron_cell,Neural_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell
72hpf,3.21,0,0,2.14,0,0,1.07,1.07,0,0,0
21Day,41.49,0,1.34,0,1.34,0,0,0,1.34,1.34,1.34
3Month,1.28,0.32,0,0,0,0.32,0.32,0,0.32,1.28,0
