stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Spermatocyte
72hpf,0,0,0,0,1.07,2.14,0
21Day,0,0,0,1.34,0,0,0
3Month,0.32,0.32,0.32,0,0,0,0.32
