stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Radial_glia
24hpf,0,0,0,0,0,0,0,4.09,0,0,12.26,0,0
72hpf,0,0,0,0,0,1.07,1.07,1.07,0,4.28,2.14,0,0
21Day,1.34,1.34,1.34,1.34,1.34,0,0,1.34,1.34,0,0,1.34,1.34
