stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,12.26,0,0,0,4.09,24.52,0,0,4.09,0,0,0,0,0,0
72hpf,0,0,0,4.28,0,0,0,0,0,0,0,0,5.35,0,1.07,11.77,16.05,0,0,0,0,9.63,3.21,0,0,2.14,0,0,0,0,0,0
21Day,1.34,1.34,0,8.03,1.34,0,8.03,0,0,0,1.34,0,74.96,0,1.34,8.03,53.54,9.37,0,0,0,8.03,0,0,4.02,2.68,8.03,0,1.34,0,0,70.94
3Month,0,0.64,1.28,8,0,1.6,0,0.64,4.16,0,3.84,1.6,1.28,15.04,0.64,3.52,40.31,8.64,1.28,0.32,0.32,0,0,0,0,0.32,0.32,4.8,0.32,0,1.28,63.03
22Month,0,0.55,1.09,7.11,0,0,0.55,1.64,2.19,0.55,12.57,1.09,6.01,7.65,0,0,42.64,5.47,0,1.09,0,0.55,0.55,2.19,1.09,0,0,3.28,0.55,0.55,0,42.64
