stage,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Mesenchymal_cell,Pancreatic_cell
72hpf,0,0,0,0,0,1.07,0
3Month,0,0.32,0,0,0.64,0,0
22Month,0.55,1.09,0.55,0.55,0,0,0.55
