stage,Epithelial_cell,Erythroid_progenitor_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,4.09,0,0,24.52,0,0,4.09,0,0,0
72hpf,0,1.07,0,0,0,1.07,0,1.07,1.07,0,1.07,0,0,0,0,0
21Day,1.34,0,0,0,0,0,0,0,1.34,1.34,1.34,0,0,0,0,0
3Month,0.96,0,1.6,0.32,0.32,0,0,0,0,0,0,0.32,0,0.64,0.96,0.32
22Month,0,0,2.19,0,0,0,0,0,0,0,0,0,0,0,0,0
