stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,8.17,0,0,0,0,0,44.95,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,3.21,0,0,0,0,0,0,0,0,0,1.07,0,0,2.14,0,3.21,0,1.07,6.42,6.42,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,1.34,0,0,1.34,0,1.34,0,0,0,0,1.34,0,1.34,1.34,1.34,0,0,0
3Month,0,0.96,1.6,79.99,0,0.64,0.96,3.52,0,19.84,3.2,0.64,6.08,16.96,5.44,2.24,9.92,2.24,0.32,0.64,3.52,1.92,0.32,0.64,0,0,0,2.24,226.52,2.24,0,1.28,417.85,2.56
22Month,0.55,0,0.55,20.23,0.55,0.55,0,12.57,1.64,9.29,1.09,3.28,2.19,1.64,0.55,3.83,12.03,0.55,0,0,0.55,0.55,0,0,1.64,3.83,0,0.55,92.93,1.09,0,0,1.64,2.19
