stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,16.35,0,28.6,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,4.09,8.17,98.07,0,0,0,0,0,0,0,0,0,0
72hpf,0,4.28,0,5.35,1.07,1.07,0,0,0,0,0,0,2.14,0,1.07,28.88,0,1.07,0,0,0,4.28,6.42,0,0,1.07,1.07,17.12,0,0,0,0,0
21Day,1.34,1.34,0,16.06,0,1.34,0,0,0,0,0,0,1.34,0,1.34,5.35,0,0,0,0,1.34,5.35,0,0,0,1.34,0,2.68,0,2.68,0,0,1.34
3Month,0.32,4.8,0,28.48,0,0,0.96,1.28,10.24,0,4.48,7.36,0.96,2.88,2.24,51.83,1.92,1.92,0.32,0.32,8,0,0,0.64,0,0,5.12,0,0,0,5.76,0.64,13.44
22Month,0,6.56,0.55,11.48,0,0,0,0,7.65,0.55,14.76,1.64,2.19,1.09,0,10.39,3.83,2.73,0,0,0.55,0,0,0.55,1.09,0,0,0,1.09,0,0.55,0,1.09
