stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,12.26,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,57.21,0,0,0,106.25,518.97,0,0,16.35,0,0,0,0,0,4.09,0,0,0
72hpf,23.54,2.14,0,10.7,26.74,20.33,0,0,0,0,0,0,0,1.07,0,5.35,41.72,10.7,39.58,0,0,0,2304.33,512.43,0,84.51,34.23,0,0,341.26,5.35,3.21,2.14,0,0,0
21Day,4.02,0,0,8.03,20.08,6.69,0,0,0,0,0,0,0,8.03,1.34,1.34,2.68,20.08,16.06,0,0,0,232.9,96.37,1.34,22.76,1.34,14.72,2.68,64.25,4.02,1.34,1.34,0,0,4.02
3Month,0,0,0,8.96,20.48,0,0.32,0,0.96,1.92,0,6.72,2.88,0.64,3.52,1.6,2.24,19.2,30.72,9.6,0.32,0.32,2.88,0,0.32,3.2,4.16,0.96,16.32,0.32,0.96,0,0,12.16,2.24,1.6
22Month,0.55,1.09,0.55,1.64,3.83,0,0,0.55,0.55,7.11,0.55,55.21,1.09,0,3.83,0,1.64,22.41,9.29,2.19,0,0,1.09,0,0,3.83,9.84,0,33.35,3.28,0,0,0,1.64,0,2.19
