stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,8.17,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,16.05,0,1.07,0,0,0,5.35,2.14,0,0,0,0,1.07,1.07,1.07,0,0
21Day,4.02,0,0,0,0,1.34,0,0,2.68,0,0,0,0,0,5.35,1.34,0,0,0,0,2.68,0,0,0,0
3Month,31.67,1.28,0.96,4.16,1.28,0,1.6,0.32,1.28,9.6,0.64,0.32,0.64,7.04,0.32,0,0.32,0.32,0.32,7.36,0.32,0,0.32,8.96,0.64
22Month,2.19,0.55,2.19,14.21,1.64,0,1.64,0,0,1.64,0.55,0,0,0,0.55,0,0.55,0,0,0.55,0.55,0,0,0,0.55
