stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28,1.07,0,0,0,1.07,0,0,0,0,0,0
21Day,0,1.34,0,0,0,0,0,0,0,1.34,0,2.68,0,0,1.34,0,2.68,0,0,0,0,2.68,1.34,0,0,0,0,0,0,0,0,0,0
3Month,0,1.28,0,17.28,0,0.32,1.28,5.44,0,20.16,3.52,0,5.44,0.96,7.36,2.56,5.44,0,0.32,0,0.64,0,0,0.64,0.64,0,0,0.32,7.04,0.32,1.92,4.16,1.92
22Month,0.55,6.56,0.55,21.87,8.75,3.28,1.09,44.28,0.55,229.05,48.65,14.21,0.55,1.09,9.29,29.52,27.88,1.09,16.95,3.83,0.55,2.19,0,3.28,4.37,1.64,1.09,0,0,1.09,0.55,0,4.37
