stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,T_cell
24hpf,40.86,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,68.47,1.07,0,0,0,0,0,0,0,0,1.07,0,1.07,0,6.42,3.21,0,2.14,0,0,0,0,0
21Day,45.51,0,0,1.34,0,0,0,1.34,0,0,0,1.34,0,0,1.34,0,0,1.34,1.34,0,2.68,0,0
3Month,1.28,0,0,1.28,1.28,0.64,1.28,0,0.64,0.32,0.64,0.96,0.32,0.32,0,0,0,0,0,0.32,0,0.32,1.28
22Month,0,0,0.55,0,0,5.47,0,0,2.19,0,0.55,0,0,0,0,0,0.55,0,0,0,0,0,0
