stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,265.62,4.09,0,69.47,0,0,0,0,0,0,0,0,0,0,4.09,24.52,12.26,4.09,539.41,0,0,114.42,1417.98,4.09,0,12.26,0,0,0,0,8.17,0,0,0
72hpf,3.21,0,0,5.35,0,0,0,0,0,0,0,0,0,0,0,4.28,2.14,0,2.14,0,2.14,7.49,6.42,0,0,0,0,2.14,4.28,0,0,0,0,0
21Day,2.68,0,0,1.34,1.34,5.35,0,1.34,0,0,0,0,1.34,44.17,0,0,0,2.68,5.35,0,1.34,5.35,0,0,0,0,0,12.05,1.34,1.34,0,0,0,20.08
3Month,0,0.32,1.28,10.88,0,0,1.6,0,0.32,2.56,2.88,16,3.52,3.2,7.68,0.96,2.56,6.08,4.16,1.28,2.24,0,0.64,0.64,0.32,0,3.2,231.96,0,0,0.32,2.88,403.78,81.91
22Month,0.55,0,0,3.83,0,0,0,0,0,0.55,2.19,5.47,0,1.09,1.09,0,0,5.47,0.55,1.09,0,0,0,0,0,0,0,31.71,0.55,0,0,0,1.64,30.07
