stage,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,12.26,4.09,0,0,0,0,0
72hpf,0,1.07,0,0,0,2.14,2.14,4.28,0,0,0,0,1.07,0,0
21Day,0,0,0,0,0,0,2.68,5.35,2.68,0,0,1.34,0,0,1.34
3Month,0.32,0,0.32,0.96,0.32,0,0,0,0,0,0.64,0,0,1.6,0
