stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,310.57,0,0,0,0,0,0,0,0,0,0,0,8.17,32.69,0,0,0,0,81.73,0,4.09,0,0,0,0,0,8.17,0,0,0
72hpf,0,1.07,0,39.58,3.21,1.07,0,0,0,0,0,0,0,6.42,198.98,0,9.63,0,1.07,0,27.81,9.63,0,3.21,0,0,3.21,1.07,2.14,165.82,0,0,0
21Day,0,1.34,0,6.69,1.34,2.68,6.69,0,0,1.34,0,1.34,2.68,0,0,0,14.72,0,57.56,0,2.68,1.34,0,2.68,2.68,0,0,0,1.34,44.17,0,0,2.68
3Month,0,5.76,0,1.92,0.32,0,19.84,1.92,0.96,3.84,1.6,0.32,2.88,0.96,1.6,0,12.16,0.32,23.04,0.32,0,0,0.32,0.32,1.28,9.6,0,0,0,1.92,0.96,21.12,1.28
22Month,0,0,0.55,1.09,0,0,41.55,1.09,0.55,33.35,0,0.55,4.92,0.55,0,0.55,3.28,0,0.55,0,0,0,1.64,0,0,13.12,0.55,0.55,0,2.73,0,0,1.09
