stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,0,0,0,1.07,0,1.07,0,0,1.07,0,0,0,0
21Day,0,4.02,6.69,0,1.34,0,0,0,0,0,20.08,0,1.34,0,4.02,0,0,1.34,0,2.68,1.34,1.34,0,2.68,0,0,0,0,0,0
3Month,0.32,6.08,24.32,0.32,36.47,0.96,0,43.19,2.56,0.32,217.57,1.6,1.92,2.56,0.96,0,0.32,32.31,0.64,0.64,0,3.52,0,2.56,13.76,0,0.32,0.32,8.64,3.2
22Month,0,9.29,18.04,0.55,22.96,0.55,2.19,171.1,0.55,0,232.87,0.55,0,2.19,2.19,0.55,3.28,20.77,0,0,0,6.01,0,0,7.11,0.55,0,0,0,0.55
