stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,4.09,8.17,0,0,0,0,0,0,0,0,0,0,0,0,8.17,8.17,0,4.09,0,0,0,4.09,220.67,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,7.49,0,29.95,7.49,2.14,0,0,0,0,0,0,0,0,0,0,4.28,11.77,2.14,32.09,0,0,1.07,421.5,144.42,0,16.05,0,34.23,0,0,149.77,0,2.14,35.3,0,0,0
21Day,0,0,29.45,1.34,1.34,0,0,0,0,0,0,0,0,2.68,4.02,2.68,9.37,0,16.06,0,0,2.68,96.37,49.53,0,6.69,0,2.68,5.35,1.34,41.49,0,1.34,10.71,0,0,0
3Month,0,1.28,3.52,0,0,0.32,0.32,0.32,0.64,1.92,0.32,11.52,1.92,1.6,3.2,1.28,6.08,1.28,29.44,1.6,0,2.88,1.6,1.28,0.32,3.2,0,0.32,0.96,13.44,2.56,0.32,0,2.24,0.32,16,0.32
22Month,0,0.55,4.37,0,0,0.55,0.55,0,1.64,4.92,0,23.51,0.55,2.19,2.73,0.55,2.19,1.09,20.23,0.55,0.55,1.09,6.01,2.73,2.19,1.64,0.55,0,0.55,21.32,7.65,0,0,1.09,0.55,0,0.55
