stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,3.21,0,1.07,0,0,0,0,0,0,2.14,1.07,0,1.07,0,1.07,8.56,2.14,2.14,0,0,1.07,0,0
21Day,0,1.34,0,0,0,0,0,1.34,1.34,0,1.34,0,0,0,2.68,1.34,1.34,1.34,0,0,0,0,0
3Month,0,0.96,0,0.64,1.92,6.72,0.32,0,2.24,0.32,0,0.96,0.64,0.96,0,0,0,0,0.32,0.64,0,0.32,0.32
22Month,0.55,0,0,0,0.55,3.28,0,0,0.55,0,0.55,0,0.55,0,0,0,0,0,0,0,0,0,0
