stage,Hepatocyte,Macrophage,Mesenchymal_cell,Primordial_germ_cell,Spermatocyte
72hpf,0,1.07,1.07,0,0
21Day,0,0,1.34,0,0
3Month,0.32,0,0,0.64,0.32
22Month,0,0,0,1.09,0
