stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,1.34,0,0,57.56,1.34,1.34,0,0,0,0,0,0,0,1.34,0,4.02,21.42,5.35,4.02,0,0,0,4.02,0,0,0,0,2.68,0,0,1.34,0,0,0
3Month,0.64,3.52,1.6,72.63,0,0,0,0.32,44.47,7.04,0,6.72,1.92,0,128.62,1.6,3.84,2.88,2.56,0.32,19.2,1.28,0.32,0.32,0.96,0.32,0.32,1.28,6.72,0,0,0.64,3.2,1.92
22Month,0,5.47,12.03,125.18,0,0,1.64,0,8.2,10.39,0.55,8.2,0.55,0,24.6,1.09,17.49,6.56,3.83,0,7.65,0,0.55,0,0.55,0,0,0.55,5.47,0.55,0,0,0,3.83
