stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,41.72,5.35,0,0,0,0,0,0,6.42,0,0,0,0,0,1.07,0,0,0,0
21Day,0,0,1.34,9.37,0,0,0,0,0,1.34,0,0,0,12.05,0,0,4.02,0,0,1.34,0,14.72,0,0,0,0,0,1.34,1.34,0,0,0
3Month,0,1.6,1.28,35.51,0.32,0.96,5.12,3.2,0,40.63,12.16,0.96,12.48,1025.44,5.44,3.52,7.68,5.44,0.64,6.4,3.2,2.56,0,0.64,0.64,2.88,13.44,0,0,7.36,11.52,12.8
22Month,2.19,8.75,5.47,57.95,0,1.64,5.47,5.47,2.73,89.1,3.28,1.09,6.56,330.18,0.55,3.83,8.2,0,4.92,2.19,0,0.55,0,1.09,0.55,0.55,10.39,0.55,0,0,0,3.28
