stage,Epithelial_cell,Immune_cell,Immune_progenitor_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,0,0,0,0,0,0,4.09,4.09
72hpf,4.28,0,0,0,2.14,1.07,0,0
21Day,2.68,0,0,1.34,1.34,0,0,1.34
22Month,0,0.55,0.55,0,0,0.55,0,0
