stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,8.17,0,0,0,0,0,0,0,0,0,8.17,0,0,0,8.17,53.12,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,1.07,0,0,1.07,0,0,0,2.14,0,0,0,1.07,0,0,0
21Day,1.34,0,1.34,0,0,0,4.02,0,4.02,1.34,5.35,0,2.68,0,0,0,0,1.34,0,1.34,2.68,0,0,0
3Month,0.64,0,3.84,0.32,0.64,0,1.6,0.32,1.6,0.96,0,1.6,0.32,0.32,0.32,2.88,0,0,24.96,0.32,0,0.32,1.92,0.32
22Month,0,1.09,1.64,0,0.55,1.09,26.24,0,12.57,0,0,3.28,2.19,0,0,0,0,0,3.28,0.55,0,0,0,0
