stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,4.09,4.09,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,36.78,93.99,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,9.63,1.07,0,3.21,7.49,4.28,0,0,0,0,0,0,0,0,0,0,0,14.98,0,13.91,0,0,991.7,29.95,5.35,11.77,0,10.7,0,5.35,10.7,1.07,1.07,1.07,0,0,0
21Day,0,0,0,22.76,0,6.69,0,0,0,0,0,0,1.34,0,2.68,1.34,0,5.35,0,26.77,4.02,0,398.88,16.06,0,5.35,0,2.68,8.03,18.74,6.69,4.02,4.02,0,0,0,1.34
3Month,0.64,0.64,0.32,12.16,2.56,0,0.32,0.64,0,0.64,1.92,0,9.28,5.44,0.64,2.88,1.28,1.28,2.56,12.8,0.96,0.64,36.47,0.64,9.6,3.2,0,0.32,3.52,355.46,0.96,0,0,0,0.32,62.07,4.16
22Month,7.11,0.55,0,4.92,0.55,0,0,0,0.55,0,1.09,0,12.57,1.09,2.19,1.64,0.55,0,2.19,8.75,1.09,0,26.24,1.09,4.37,8.2,0.55,0.55,0.55,103.32,3.83,0,0,0,0,0,1.09
