stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,2.14,0,3.21,0,0,0,82.37,2.14,0,2.14,0,0,0,0,0,0,0,0
21Day,4.02,0,0,5.35,1.34,5.35,0,6.69,0,0,0,0,1.34,8.03,1.34,4.02,0,18.74,0,0,1.34,117.79,9.37,0,9.37,6.69,0,2.68,4.02,9.37,0,0,0
3Month,0.32,0.32,0.32,4.16,0.32,0,0.32,0,0.32,3.84,0,4.8,0.64,2.24,2.24,1.92,3.2,3.52,0.64,0,0.64,4.8,0,1.6,0,0,25.92,4.8,0,0,0.64,57.91,7.68
22Month,0.55,1.64,0.55,2.73,0,0,0,0,0,11.48,1.09,19.68,1.64,4.37,3.28,0.55,7.11,5.47,0,0.55,0.55,0.55,0,1.09,0.55,0,2.19,6.56,1.64,0,0,0,3.28
