stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Mesenchymal_cell,Neural_progenitor_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
24hpf,4.09,0,0,0,0,0,0,0,0
72hpf,0,0,8.56,0,0,1.07,0,0,0
21Day,0,0,0,0,1.34,0,0,0,0
3Month,0,0.32,0,0.32,0.32,0,3.84,0.32,0.96
