stage,Epithelial_cell,Erythrocyte,Hepatocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,0,0,0,0,0,57.21,4.09,0,0,0,0
72hpf,0,0,0,0,2.14,78.09,0,2.14,0,1.07,0
21Day,4.02,1.34,0,1.34,0,28.11,0,0,0,0,0
3Month,0,0,0.32,0.32,0,2.56,0,0,1.6,0,0.32
