stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_progenitor_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0
3Month,0.32,0,5.12,0,0.32,0.32,1.28,2.88,1.92,0.96,0.32,0.96,0.32,0.64,0,0,0,0.32,23.04,0.32,24.96,0.96
22Month,0,0.55,3.28,0,0.55,1.09,2.73,31.16,3.28,4.37,0.55,0.55,1.09,5.47,1.09,0,0.55,0,17.49,0,0,0
