stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,4.09,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,294.22,4.09,0,0,0,0,0,0,0,0,0
72hpf,4.28,1.07,0,3.21,2.14,0,0,0,0,0,0,0,6.42,0,20.33,0,0,0,547.73,157.26,0,16.05,31.02,0,0,31.02,0,0,0,0
21Day,0,0,0,26.77,1.34,0,0,0,2.68,0,4.02,0,13.39,0,1.34,0,0,1.34,107.08,36.14,0,8.03,2.68,2.68,0,6.69,1.34,0,0,0
3Month,0,0.32,0.64,3.52,0,0,0.64,0.96,2.24,0.96,0.32,0.32,0.32,0.96,6.72,2.24,0,0.32,0.32,0.64,1.92,23.68,0.64,0.32,13.12,3.52,0,0.32,45.75,0.96
22Month,0,0,0,1.09,0,0.55,0,1.09,9.84,0,0,1.09,0,2.19,6.01,0.55,0.55,0,0.55,0,1.64,49.75,0,0,20.23,1.09,0,0,0,0.55
