stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Macrophage,Spermatocyte,T_cell
24hpf,0,0,0,0,8.17,0,0
72hpf,0,0,0,0,1.07,0,0
21Day,0,0,0,1.34,5.35,0,0
3Month,0.32,0.64,1.28,0.32,5.76,0.32,0.64
22Month,0.55,1.64,2.19,0.55,8.75,0,0
