stage,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_progenitor_cell,Pancreatic_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,0
21Day,1.34,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0.64,0,0.32,0.32,0.32,0.32,0.32,0.32,0,0.32,0,0.32,0.32
22Month,0.55,0.55,0,1.09,0.55,0,0,1.09,1.09,0,0.55,0,0
