stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,32.69,16.35,0,53.12,0,0,4.09,0,0,0,4.09,0,0,0,0,16.35,20.43,40.86,167.54,0,0,0,12.26,65.38,1172.8,0,0,28.6,0,0,0,0,4.09,0,0,0
72hpf,5.35,1.07,0,6.42,1.07,0,1.07,0,0,0,0,1.07,0,1.07,0,7.49,14.98,1.07,22.47,0,1.07,0,0,118.75,71.68,2.14,3.21,8.56,1.07,0,7.49,0,2.14,0,0,0
21Day,17.4,0,1.34,44.17,26.77,0,20.08,0,1.34,0,0,0,0,10.71,5.35,1.34,17.4,12.05,88.34,0,0,5.35,1.34,58.9,64.25,0,4.02,18.74,6.69,0,14.72,9.37,4.02,0,0,6.69
3Month,0,0.32,0.32,6.08,0,0.32,0,0.96,0.64,0,0,3.52,0.32,0.32,2.88,0.96,2.24,0.32,2.24,0.32,0,0.32,0.64,0.32,0,0.32,0.96,0,0,8.96,0,0,0,0.32,2.24,0.64
22Month,0,1.09,0,0.55,0,0,0,0,2.19,1.09,0,10.39,0.55,0,1.09,0,0,0,2.19,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0
