stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,65.38,0,0,0,0,0,0,0,0,0,0,8.17,0,20.43,0,0,4.09,53.12,0,0,0,0,0,0,0,0,0,0
72hpf,10.7,0,4.28,5.35,0,0,0,0,0,0,0,0,0,21.4,0,21.4,0,2.14,16.05,6.42,0,0,12.84,0,0,0,1.07,0,0,0
21Day,1.34,1.34,16.06,0,1.34,0,0,0,0,0,0,4.02,0,1.34,2.68,10.71,0,18.74,16.06,8.03,0,1.34,4.02,5.35,0,0,0,0,0,0
3Month,0,0,13.12,0.64,0,0,0.64,0,0,5.44,0.64,0.32,0.64,0.96,3.84,1.28,0.32,26.56,0,0.32,2.24,0.32,0.32,0.64,5.12,0.96,0,0.32,0.64,1.6
22Month,0,0,6.56,0.55,0,1.09,0,1.64,0.55,10.39,0,0,0.55,0,0.55,0.55,0.55,7.65,0.55,0,1.09,1.09,0,0,1.09,0.55,0,0,0,0
