stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Pancreatic_cell,Primordial_germ_cell
24hpf,4.09,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,1.07,0,8.56,0,0
3Month,0.64,0.96,0.32,0.32,0,0.32,0,0.32,0.64
22Month,0.55,0.55,0.55,0,0,0,0,0,0
