stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,4.09,0,4.09,0,0,8.17,0,0,0,0,0,0,0
72hpf,1.07,0,1.07,1.07,0,0,0,0,0,0,1.07,0,1.07,0,11.77,0,0,0,0,0,1.07,0,0
21Day,1.34,0,2.68,2.68,2.68,0,0,1.34,0,2.68,0,0,0,0,6.69,0,1.34,0,0,0,0,0,1.34
3Month,0,0.32,3.2,0,0,0.64,0.64,14.08,0.32,1.28,0.32,0.64,0.32,2.24,0,0,0,0.32,0.32,0.32,0,0.32,0.32
22Month,0,0,0.55,0,0,0,0,3.28,0,0.55,0.55,0,0.55,0,0.55,0,0,0,0,0,0,0,0.55
