stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,20.43,0,0,0,4.09,118.51,0,4.09,0,0,0,0,0,0
72hpf,1.07,1.07,0,0,1.07,0,0,0,0,0,0,0,0,0,1.07,0,10.7,0,0,0,20.33,36.37,0,6.42,0,3.21,0,0,0,0
21Day,5.35,0,0,8.03,0,1.34,0,4.02,0,0,0,0,1.34,0,1.34,0,9.37,0,0,0,4.02,10.71,0,4.02,0,0,1.34,0,0,0
3Month,0,0.32,0.32,1.92,0,0,0.64,0,0.96,0,7.04,0.32,1.28,0.64,0.32,0.64,0.96,0.96,0.64,0,0.32,0,0.32,0,1.6,0,0,0.64,0.32,3.84
22Month,0,0.55,0,0.55,0,0,0,0,0.55,2.19,14.21,0.55,0,0,0,0,0,0,1.09,0.55,0,0,0,0,0,0,0,0,0,0
