stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,8.17,0,0,0,28.6,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,1.07,0,0,0,0,0,0,0,0,0,1.07,0,3.21,0,1.07,19.26,11.77,0,0,9.63,0,2.14,0,0,0,0
21Day,1.34,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,1.34,2.68,0,1.34,5.35,4.02,0,0,0,0,1.34,0,0,0,0
3Month,0,0,1.28,0.32,0,0.32,0,0.64,0,1.28,0.96,0,0.32,0,0.64,0.64,10.56,1.6,0,2.56,0.32,0,1.92,0,0.64,0,0.32,0.32,0.96,0.32
22Month,0,0.55,1.64,0.55,0,0,1.09,1.64,1.09,9.29,1.09,0.55,0.55,0,0.55,0.55,3.28,0.55,0.55,1.09,0,0.55,2.19,0,0,0.55,0,0,0,0
