stage,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neurosecretory_cell,Primordial_germ_cell
72hpf,0,0,0,0,0,1.07,0,0,0,0,0
21Day,0,1.34,0,0,0,0,0,0,0,0,0
3Month,0,0,0,0.32,0.32,0,0.32,0.32,0.32,0,0.32
22Month,0.55,0,1.09,0,0.55,0,0,0,0,0.55,0
