stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,40.86,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,2.14,0,2.14,0,0,0,0,0,0,0,0,1.07,0,10.7,1.07,4.28,0,1.07,1.07,16.05,7.49,0,0,0,9.63,1.07,0,1.07,0,1.07,0,0,0
21Day,2.68,1.34,0,18.74,0,1.34,0,1.34,0,0,0,1.34,0,2.68,0,0,0,5.35,10.71,0,0,0,9.37,6.69,0,0,0,4.02,0,0,0,1.34,0,0,0,1.34
3Month,0.32,1.28,0,14.08,0,0,0.64,0,1.92,11.52,0,14.4,5.44,0.32,3.52,1.92,6.72,8.64,4.16,1.28,0,2.56,0.96,0,0.32,0.32,0,0.32,0.32,5.44,0,0,0.32,0.32,0.64,9.6
22Month,0,3.28,3.28,6.56,0.55,0,0.55,0,1.64,19.68,12.03,96.21,0,2.19,8.75,1.09,0.55,13.67,8.2,0.55,1.64,1.09,0.55,0,0,0.55,1.09,0,0,1.09,0,0,0,0,0,4.37
