stage,Enterocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,T_cell
72hpf,0,1.07,0,0,0,1.07,0,3.21,0,33.16,5.35,4.28,0,1.07,0
21Day,0,0,1.34,0,0,0,1.34,1.34,16.06,14.72,1.34,1.34,0,0,0
3Month,0,0,0,0,0,0,0,0,0,0.96,0,0,0.32,0,0.32
22Month,0.55,2.73,0,0.55,3.83,0,0,0.55,0,0,0.55,0,0,1.64,0
