stage,Endothelial_cell,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0
72hpf,0,0,0,0,0,0,0,1.07,0,3.21,6.42,2.14,0,0,0
21Day,0,0,0,1.34,0,0,0,0,0,1.34,0,0,0,0,0
3Month,0.32,0.32,0.64,0,0.64,0,0,0,0,0,0,0,2.56,1.28,0.32
22Month,0,0,0,1.09,0,0.55,0.55,0,1.64,0,0,0,0,0,0
