stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Primordial_germ_cell,T_cell
72hpf,0,0,0,2.14,0,0,0,0
21Day,0,0,0,2.68,0,1.34,0,0
3Month,4.16,0,0.32,7.68,0,0,0.32,0.32
22Month,0,1.09,0,0,0.55,0,0,0
