stage,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
72hpf,2.14,0,0,0,0,0,37.44,0,0,1.07,0,0,0,0,0,0
21Day,0,0,0,0,1.34,0,6.69,0,1.34,0,0,1.34,1.34,1.34,0,0
3Month,0.64,0,0.96,0.32,0.96,0.32,0,0.32,0,0,0.32,2.88,0,0,2.56,0.32
22Month,0.55,0.55,2.19,0,0,0,0,0.55,0,0,0,0.55,0,0,0,0
