stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,T_cell
72hpf,0,0,1.07,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.68,0,0,0,0,0,0,0,0,0
3Month,0,0,1.6,0,0.32,0.32,0,0.32,0,5.12,0.96,0.32,0.96,0,1.6,0.64,3.2,0.32,0,0,0,1.6,0,0,0,0.64,0,0,0,2.24
22Month,1.09,1.64,12.57,0,0.55,0,1.09,10.93,2.19,51.39,1.09,0,10.93,1.64,1.09,3.28,7.65,0.55,2.19,0.55,0.55,1.09,1.09,1.09,0.55,1.64,0.55,0.55,0.55,1.09
