stage,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Primordial_germ_cell,Radial_glia
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,1.34,0,0,0,0,0,0,0,1.34,0,1.34,1.34,1.34,0,0
3Month,8.32,0,0.32,0.32,0,0.32,0.32,0.32,0,0.32,0.32,3.84,0.64,1.28,0.32
22Month,7.65,0.55,0,0.55,0.55,1.64,0,0,0,0,0,2.73,0,0,0
