stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Smooth_muscle_cell
24hpf,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0
72hpf,0,0,0,0,0,0,0,1.07,2.14,1.07,1.07,0,0,0
21Day,1.34,1.34,0,0,0,0,1.34,0,0,0,0,1.34,1.34,0
3Month,0,0,0.32,0.96,0.32,0.32,0,0,0,0,0,0,0,0.64
22Month,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0
