stage,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,4.09,0,0,0,4.09,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,0,0,4.28,0,0,0,0,0
21Day,0,0,0,0,0,4.02,0,1.34,1.34,0,0,17.4,1.34,1.34,0,0,6.69
3Month,0.64,0,0.32,0,0.96,0.32,0.32,0,0,0.64,0,0.32,0,0,0.32,0.32,3.52
22Month,0,0,0,0.55,2.73,0,1.09,0,0.55,0.55,0.55,0,0,0,0,0,0.55
