stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,36.78,8.17,0,706.95,32.69,8.17,0,0,0,4.09,49.04,0,24.52,0,0,0,0,232.93,4029.19,5586.12,77.64,0,0,0,0,32.69,335.09,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0
72hpf,73.82,64.19,0,1431.38,1151.1,66.33,0,1.07,0,0,327.36,0,0,0,0,37.44,1.07,470.71,7739.94,1558.69,177.59,0,11.77,11.77,4.28,570.2,278.15,1.07,8.56,0,522.06,3.21,0,1.07,47.07,6.42,2.14,8.56,0,0,0
21Day,49.53,4.02,6.69,1108.31,120.47,132.51,0,42.83,0,0,412.27,0,0,32.12,4.02,463.13,10.71,147.24,2171.1,4488.1,230.23,0,1.34,46.85,4.02,155.27,76.3,2.68,2.68,0,204.8,112.44,0,0,14.72,13.39,46.85,6.69,1.34,0,1027.99
3Month,22.08,91.51,25.6,1588.23,23.04,0,53.75,3.2,2.88,100.78,15865.65,1.6,0,477.04,387.14,109.42,224.6,192.61,398.02,8123.19,433.21,72.95,1.6,60.79,99.82,47.67,3.52,30.08,16.64,0,86.07,169.89,2.88,156.14,8.96,3.2,0,3.2,89.59,148.78,2884.98
22Month,10.39,77.08,9.29,490.35,4.37,0,145.96,4.92,0,36.08,17246.95,200.08,0,460.83,181.49,180.4,76.53,30.61,72.16,6859.42,294.1,2.19,16.4,22.96,7.11,21.87,2.19,14.76,40.45,19.13,10.39,25.15,0,7.65,27.33,34.44,0,0,21.87,0,1517.51
